Date,Views,Watch time (hours)
2021-07-21,184.0,5.3664
2021-07-20,119.0,8.4751
2021-07-19,36.0,2.0177
2021-07-18,20.0,1.4998
2021-07-17,60.0,4.1522
2021-07-16,58.0,4.2915
2021-07-15,49.0,4.5
2021-07-14,37.0,2.4368
2021-07-13,45.0,2.6521
2021-07-12,56.0,3.7173
2021-07-11,22.0,0.9063
2021-07-10,29.0,1.4923
2021-07-09,11.0,0.6845
2021-07-08,16.0,1.1648
2021-07-07,58.0,3.002
2021-07-06,28.0,1.6975
2021-07-05,34.0,2.6284
2021-07-04,36.0,3.6287
2021-07-03,48.0,5.7312
2021-07-02,31.0,1.6917
2021-07-01,65.0,4.5924
2021-06-30,28.0,1.369
2021-06-29,24.0,1.1693
2021-06-28,26.0,2.4739
2021-06-27,22.0,2.1473
2021-06-26,15.0,0.4346
2021-06-25,30.0,2.6405
2021-06-24,32.0,1.453
2021-06-23,28.0,1.6989
2021-06-22,19.0,0.7013
2021-06-21,60.0,4.1129
2021-06-20,32.0,2.679
2021-06-19,44.0,2.3164
2021-06-18,54.0,4.6916
2021-06-17,43.0,2.7979
2021-06-16,16.0,0.9932
2021-06-15,60.0,4.864
2021-06-14,43.0,3.9531
2021-06-13,27.0,0.4502
2021-06-12,32.0,1.8799
2021-06-11,32.0,1.9279
2021-06-10,13.0,0.937
2021-06-09,9.0,0.5084
2021-06-08,14.0,0.4216
2021-06-07,25.0,1.2483
2021-06-06,47.0,4.6952
2021-06-05,9.0,0.3527
2021-06-04,91.0,2.1116
2021-06-03,15.0,0.7826
2021-06-02,11.0,0.156
2021-06-01,3.0,0.019
2021-05-31,8.0,0.4548
2021-05-30,22.0,0.9539
2021-05-29,33.0,2.6378
2021-05-28,17.0,1.0927
2021-05-27,20.0,0.9914
2021-05-26,13.0,0.8444
2021-05-25,20.0,0.4691
2021-05-24,3.0,0.0219
2021-05-23,20.0,1.3002
2021-05-22,17.0,0.8538
2021-05-21,11.0,0.2663
2021-05-20,20.0,1.0342
2021-05-19,19.0,0.4298
2021-05-18,19.0,1.4382
2021-05-17,35.0,1.938
2021-05-16,68.0,1.0935
2021-05-15,33.0,1.79
2021-05-14,24.0,1.0176
2021-05-13,25.0,1.8676
2021-05-12,21.0,1.2118
2021-05-11,23.0,0.801
2021-05-10,28.0,1.7613
2021-05-09,12.0,0.6744
2021-05-08,16.0,0.653
2021-05-07,18.0,0.924
2021-05-06,16.0,0.692
2021-05-05,15.0,0.7515
2021-05-04,26.0,1.1738
2021-05-03,21.0,1.0278
2021-05-02,53.0,2.714
2021-05-01,38.0,1.9396
2021-04-30,41.0,0.8089
2021-04-29,16.0,0.6475
2021-04-28,27.0,1.2728
2021-04-27,36.0,1.9488
2021-04-26,29.0,0.902
2021-04-25,12.0,0.6516
2021-04-24,26.0,0.9145
2021-04-23,33.0,1.3095
2021-04-22,36.0,1.2035
2021-04-21,16.0,0.8134
2021-04-20,37.0,1.3519
2021-04-19,42.0,1.8739
2021-04-18,45.0,2.3109
2021-04-17,27.0,1.1498
2021-04-16,59.0,3.6429
2021-04-15,17.0,0.9595
2021-04-14,37.0,1.3253
2021-04-13,54.0,2.4745
2021-04-12,35.0,2.5542
2021-04-11,36.0,3.1094
2021-04-10,23.0,1.0944
2021-04-09,25.0,1.8619
2021-04-08,58.0,4.6614
2021-04-07,99.0,1.4926
2021-04-06,46.0,2.4076
2021-04-05,20.0,0.7326
2021-04-04,60.0,2.8347
2021-04-03,25.0,1.3077
2021-04-02,40.0,2.2342
2021-04-01,31.0,1.4994
2021-03-31,40.0,2.4759
2021-03-30,33.0,1.215
2021-03-29,24.0,1.0381
2021-03-28,24.0,1.0641
2021-03-27,30.0,0.8676
2021-03-26,24.0,1.5353
2021-03-25,38.0,1.7593
2021-03-24,58.0,2.9967
2021-03-23,42.0,1.9923
2021-03-22,33.0,2.3398
2021-03-21,35.0,2.1901
2021-03-20,46.0,2.6303
2021-03-19,45.0,3.5568
2021-03-18,30.0,0.8168
2021-03-17,61.0,4.0636
2021-03-16,86.0,4.3333
2021-03-15,61.0,2.4126
2021-03-14,50.0,2.6314
2021-03-13,66.0,4.0832
2021-03-12,72.0,3.3338
2021-03-11,53.0,4.7534
2021-03-10,58.0,2.431
2021-03-09,95.0,5.7759
2021-03-08,66.0,2.937
2021-03-07,102.0,2.8012
2021-03-06,49.0,1.5882
2021-03-05,49.0,2.9202
2021-03-04,109.0,3.7812
2021-03-03,144.0,5.5693
2021-03-02,97.0,4.3355
2021-03-01,84.0,5.9137
2021-02-28,48.0,3.9551
2021-02-27,78.0,4.6824
2021-02-26,76.0,5.0195
2021-02-25,64.0,4.229
2021-02-24,58.0,5.5706
2021-02-23,52.0,1.45
2021-02-22,137.0,4.6794
2021-02-21,85.0,4.5908
2021-02-20,70.0,2.701
2021-02-19,65.0,1.9592
2021-02-18,58.0,4.4579
2021-02-17,95.0,6.7366
2021-02-16,148.0,5.103
2021-02-15,193.0,5.5078
2021-02-14,95.0,3.5191
2021-02-13,65.0,2.7337
2021-02-12,50.0,3.391
2021-02-11,92.0,6.0154
2021-02-10,104.0,4.5805
2021-02-09,145.0,7.4335
2021-02-08,165.0,6.9096
2021-02-07,119.0,6.112
2021-02-06,54.0,3.6823
2021-02-05,93.0,4.4724
2021-02-04,104.0,4.1955
2021-02-03,91.0,4.3837
2021-02-02,63.0,4.3463
2021-02-01,179.0,8.9321
2021-01-31,64.0,3.5523
2021-01-30,105.0,3.9422
2021-01-29,50.0,2.4348
2021-01-28,41.0,3.6698
2021-01-27,44.0,2.3749
2021-01-26,112.0,5.5276
2021-01-25,116.0,4.4308
2021-01-24,73.0,4.4806
2021-01-23,79.0,5.4525
2021-01-22,108.0,9.7598
2021-01-21,130.0,7.0336
2021-01-20,90.0,6.4077
2021-01-19,112.0,6.6916
2021-01-18,179.0,8.773
2021-01-17,102.0,4.4894
2021-01-16,59.0,3.1162
2021-01-15,63.0,1.8464
2021-01-14,98.0,3.7137
2021-01-13,82.0,3.838
2021-01-12,87.0,5.828
2021-01-11,167.0,8.4636
2021-01-10,103.0,4.6985
2021-01-09,69.0,5.3322
2021-01-08,145.0,6.9443
2021-01-07,122.0,5.7811
2021-01-06,127.0,5.3254
2021-01-05,182.0,11.1811
2021-01-04,196.0,5.9077
2021-01-03,65.0,3.0165
2021-01-02,55.0,2.7593
2021-01-01,34.0,2.1518
2023-01-01,20.0,1.114
2022-12-31,5.0,0.0156
2022-12-30,8.0,0.1679
2022-12-29,23.0,0.6208
2022-12-28,17.0,1.1514
2022-12-27,18.0,1.0697
2022-12-26,13.0,0.9854
2022-12-25,27.0,1.6534
2022-12-24,4.0,0.0489
2022-12-23,12.0,0.7009
2022-12-22,11.0,0.2747
2022-12-21,10.0,0.4143
2022-12-20,11.0,0.1847
2022-12-19,4.0,0.0362
2022-12-18,10.0,0.2625
2022-12-17,4.0,0.107
2022-12-16,11.0,0.7341
2022-12-15,8.0,0.402
2022-12-14,9.0,0.2052
2022-12-13,6.0,0.2722
2022-12-12,9.0,0.1382
2022-12-11,19.0,1.0884
2022-12-10,8.0,0.2161
2022-12-09,3.0,0.0753
2022-12-08,17.0,0.8867
2022-12-07,3.0,0.0203
2022-12-06,6.0,0.2688
2022-12-05,3.0,0.0532
2022-12-04,7.0,0.3468
2022-12-03,13.0,0.4241
2022-12-02,11.0,0.3239
2022-12-01,5.0,0.0754
2022-11-30,8.0,0.2306
2022-11-29,8.0,0.3548
2022-11-28,89.0,1.4341
2022-11-27,10.0,0.1587
2022-11-26,7.0,0.3705
2022-11-25,24.0,0.2289
2022-11-24,26.0,2.3735
2022-11-23,27.0,1.5467
2022-11-22,17.0,0.8767
2022-11-21,72.0,1.1267
2022-11-20,30.0,0.3304
2022-11-19,27.0,1.2408
2022-11-18,2.0,0.0267
2022-11-17,9.0,0.1191
2022-11-16,31.0,1.4019
2022-11-15,15.0,1.0993
2022-11-14,9.0,0.7336
2022-11-13,21.0,1.4225
2022-11-12,44.0,2.717
2022-11-11,30.0,3.1303
2022-11-10,4.0,0.2833
2022-11-09,15.0,0.4314
2022-11-08,41.0,3.1825
2022-11-07,21.0,1.491
2022-11-06,13.0,0.4454
2022-11-05,10.0,0.3739
2022-11-04,13.0,0.3229
2022-11-03,10.0,0.1693
2022-11-02,5.0,0.1789
2022-11-01,10.0,0.0803
2022-10-31,33.0,1.2608
2022-10-30,30.0,1.6269
2022-10-29,40.0,2.7082
2022-10-28,15.0,0.9553
2022-10-27,19.0,1.1093
2022-10-26,42.0,1.8625
2022-10-25,31.0,2.6382
2022-10-24,11.0,1.0728
2022-10-23,33.0,1.5089
2022-10-22,26.0,2.4117
2022-10-21,15.0,0.8567
2022-10-20,36.0,1.5866
2022-10-19,20.0,1.0669
2022-10-18,19.0,0.7245
2022-10-17,11.0,0.9262
2022-10-16,10.0,0.4795
2022-10-15,24.0,0.6309
2022-10-14,46.0,3.2586
2022-10-13,31.0,0.6322
2022-10-12,9.0,0.1219
2022-10-11,29.0,1.4971
2022-10-10,104.0,1.8629
2022-10-09,57.0,1.1687
2022-10-08,121.0,2.4317
2022-10-07,80.0,3.3287
2022-10-06,70.0,1.7031
2022-10-05,51.0,0.5314
2022-10-04,63.0,2.2644
2022-10-03,27.0,1.4947
2022-10-02,52.0,0.8408
2022-10-01,15.0,0.6121
2022-09-30,19.0,1.4657
2022-09-29,18.0,0.3532
2022-09-28,36.0,2.2273
2022-09-27,19.0,0.3732
2022-09-26,13.0,0.8293
2022-09-25,8.0,0.4191
2022-09-24,4.0,0.1032
2022-09-23,31.0,0.498
2022-09-22,34.0,2.5979
2022-09-21,26.0,0.9935
2022-09-20,26.0,1.2962
2022-09-19,21.0,1.048
2022-09-18,21.0,0.6429
2022-09-17,32.0,1.9107
2022-09-16,25.0,1.0753
2022-09-15,18.0,1.0641
2022-09-14,25.0,0.7772
2022-09-13,31.0,1.7851
2022-09-12,12.0,0.3204
2022-09-11,16.0,0.8123
2022-09-10,25.0,2.7917
2022-09-09,12.0,0.695
2022-09-08,16.0,0.8886
2022-09-07,39.0,1.2862
2022-09-06,24.0,0.4491
2022-09-05,27.0,1.0006
2022-09-04,15.0,0.3167
2022-09-03,20.0,1.2101
2022-09-02,29.0,0.8208
2022-09-01,29.0,0.884
2022-08-31,11.0,0.5038
2022-08-30,11.0,0.402
2022-08-29,4.0,0.2726
2022-08-28,1.0,0.0733
2022-08-27,9.0,0.2129
2022-08-26,3.0,0.0063
2022-08-25,14.0,0.651
2022-08-24,37.0,3.3805
2022-08-23,20.0,2.1362
2022-08-22,20.0,0.6312
2022-08-21,31.0,1.11
2022-08-20,14.0,0.5962
2022-08-19,9.0,0.5182
2022-08-18,17.0,0.4101
2022-08-17,84.0,1.388
2022-08-16,44.0,0.9791
2022-08-15,15.0,1.1428
2022-08-14,12.0,0.7343
2022-08-13,7.0,0.5025
